Sentence,Frame,Original_Frame_Sentence,Modified_Frame_Sentence,Score
I open the door.,Closure,an agent manipulates a fastener to open or close a containing_object.,I manipulate a fastener to open or close a the door .,0.6490592360496521
I open the door.,Body_movement,this frame contains words for motions or actions an agent performs using some part of his/her body.,this frame contains words for motions or actions I perform using some part of his / her body .,0.9626782536506653
I open the door.,Activity_start,an agent initiates the beginning of an ongoing activity in which he will be continuously involved.,I initiate the beginning of an ongoing open in which he will be continuously involved .,0.0250913817435503
I close the door.,Closure,an agent manipulates a fastener to open or close a containing_object.,I manipulate a fastener to open or close a the door .,0.7343893647193909
I close the door.,Body_movement,this frame contains words for motions or actions an agent performs using some part of his/her body.,this frame contains words for motions or actions I perform using some part of his / her body .,0.97252357006073
I close the door.,Locale_closure,"a building or location that can be sealed to prevent entrance, the locale, ceases to be open for use.","a building or location that can be sealed to prevent entrance , the the door , ceases to be open for use .",0.7975600957870483
I knock on the door.,Cause_harm,the words in this frame describe situations in which an agent or a cause injures a victim.,the words in this frame describe situations in which I or a cause injures a victim .,0.06892139464616776
I knock on the door.,Cause_motion,"an agent causes a theme to move from a source, along a path, to a goal.","I cause a theme to move from a source , along a path , to a the door .",0.2607141137123108
I knock on the door.,Impact,"while in motion, an impactor makes sudden, forcible contact with the impactee, or two impactors both move, mutually making forcible contact.","while in motion , I make sudden , forcible contact with the the door , or two I both move , mutually making forcible contact .",0.13590757548809052
I open the backpack.,Closure,an agent manipulates a fastener to open or close a containing_object.,I manipulate a fastener to open or close a the backpack .,0.4589063823223114
I open the backpack.,Body_movement,this frame contains words for motions or actions an agent performs using some part of his/her body.,this frame contains words for motions or actions I perform using some part of his / her body .,0.9571875333786011
I open the backpack.,Activity_start,an agent initiates the beginning of an ongoing activity in which he will be continuously involved.,I initiate the beginning of an ongoing open in which he will be continuously involved .,0.030694473534822464
I close the backpack.,Closure,an agent manipulates a fastener to open or close a containing_object.,I manipulate a fastener to open or close a backpack .,0.7091827392578125
I close the backpack.,Body_movement,this frame contains words for motions or actions an agent performs using some part of his/her body.,this frame contains words for motions or actions I perform using some part of his / her body .,0.9689554572105408
I close the backpack.,Locale_closure,"a building or location that can be sealed to prevent entrance, the locale, ceases to be open for use.","a building or location that can be sealed to prevent entrance , the the backpack , ceases to be open for use .",0.6233298778533936
I tear the backpack.,Experience_bodily_harm,an experiencer is involved in a bodily injury to a body_part.,an experiencer is involved in a bodily injury to a body_part .,0.8303735256195068
I tear the backpack.,Cause_to_fragment,"an agent suddenly and often violently separates the whole_patient into two or more smaller pieces, resulting in the whole_patient no longer existing as such.","I suddenly and often violently separates the the backpack into two or more smaller pieces , resulting in the the backpack no longer existing as such .",0.8710764050483704
I tear the backpack.,Damaging,an agent affects a patient in such a way that the patient.,I affect a the backpack in such a way that the the backpack .,0.9776611924171448
I tear the backpack.,Removing,"an agent causes a theme to move away from a location, the source.","I cause a the backpack to move away from a location , the source .",0.10017915070056915
I open the laptop.,Closure,an agent manipulates a fastener to open or close a containing_object.,I manipulate a fastener to open or close a laptop .,0.7064902782440186
I open the laptop.,Body_movement,this frame contains words for motions or actions an agent performs using some part of his/her body.,this frame contains words for motions or actions I perform using some part of his / her body .,0.9580876231193542
I open the laptop.,Activity_start,an agent initiates the beginning of an ongoing activity in which he will be continuously involved.,I initiate the beginning of an ongoing activity in which he will be continuously involved .,0.24785162508487701
I drop the pencil.,Body_movement,this frame contains words for motions or actions an agent performs using some part of his/her body.,this frame contains words for motions or actions I perform using some part of his / her body .,0.9825376868247986
I drop the pencil.,Path_shape,"the words in this frame describe the ""fictive"" motion of a stationary road.","the words in this frame describe the "" fictive "" motion of a stationary road .",0.10965631157159805
I drop the pencil.,Change_position_on_a_scale,this frame consists of words that indicate the change of an item's position on a scale.,this frame consists of words that indicates the change of an the pencil 's position on a scale .,0.12902943789958954
I drop the pencil.,Giving_birth,a mother and father produce a child or an egg.,a mother and father produce a child or an egg .,0.006780066527426243
I drop the pencil.,Motion_directional,"in this frame a theme moves in a certain direction which is often determined by gravity or other natural, physical forces.","in this frame a the pencil moves in a certain direction which is often determined by gravity or other natural , physical forces .",0.69850093126297
I drop the pencil.,Change_posture,a protagonist changes the overall position and posture of the body.,a protagonist changes the overall position and posture of the body .,0.1507420837879181
I drop the pencil.,Cause_change_of_position_on_a_scale,this frame consists of words that indicate that an agent or a cause affects the position of an item on some scale.,this frame consists of words that indicates that I affect the position of an the pencil on some scale .,0.9653013944625854
I drop the pencil.,Cause_motion,"an agent causes a theme to move from a source, along a path, to a goal.","I cause a the pencil to move from a source , along a path , to a goal .",0.5698946714401245
I sharpen the pencil.,Cause_to_be_sharp,an agent or cause makes a patient sharper or duller.,I make a the pencil sharper or duller .,0.9611826539039612
I break the guitar.,Cause_harm,the words in this frame describe situations in which an agent or a cause injures a victim.,the words in this frame describe situations in which I or a cause injures a the guitar .,0.9816725850105286
I break the guitar.,Compliance,this frame concerns acts and state_of_affairs for which protagonists are responsible and which either follow or violate some set of rules  or norms.,this frame concerns acts and state_of_affairs for which protagonists are responsible and which either follow or violate some set of rules   or norms .,0.6078843474388123
I break the guitar.,Experience_bodily_harm,an experiencer is involved in a bodily injury to a body_part.,an experiencer is involved in a bodily injury to a body_part .,0.907620906829834
I break the guitar.,Cause_to_fragment,"an agent suddenly and often violently separates the whole_patient into two or more smaller pieces, resulting in the whole_patient no longer existing as such.","I suddenly and often violently separates the the guitar into two or more smaller pieces , resulting in the the guitar no longer existing as such .",0.7369973063468933
I break the guitar.,Render_nonfunctional,an agent affects an artifact so that it is no longer capable of performing its inherent function.,I affect an the guitar so that it is no longer capable of performing its inherent function .,0.9562733769416809
I break the guitar.,Breaking_off,an single subpart breaks off from a whole.,an single subpart breaks off from a whole .,0.8013556003570557
I break the guitar.,Breaking_apart,"a whole breaks apart into pieces, resulting in the loss of the whole.","a the guitar breaks apart into pieces , resulting in the loss of the the guitar .",0.044162116944789886
I smash the guitar.,Cause_harm,the words in this frame describe situations in which an agent or a cause injures a victim.,the words in this frame describe situations in which I or a cause injures a the guitar .,0.9820986986160278
I smash the guitar.,Impact,"while in motion, an impactor makes sudden, forcible contact with the impactee, or two impactors both move, mutually making forcible contact.","while in motion , I make sudden , forcible contact with the the guitar , or two I both move , mutually making forcible contact .",0.43130728602409363
I smash the guitar.,Cause_to_fragment,"an agent suddenly and often violently separates the whole_patient into two or more smaller pieces, resulting in the whole_patient no longer existing as such.","I suddenly and often violently separates the the guitar into two or more smaller pieces , resulting in the the guitar no longer existing as such .",0.9564719200134277
